clause_type,contract_type,standard_template,key_elements,common_issues,review_points
通知与送达,通用,"双方确认以下联系方式：[列举]。通知以[邮寄/快递/电子邮件]方式送达，[寄出/送达]之日起生效","联系方式、通知方式、生效时间","联系方式不全、通知方式不明确、生效时间不明","是否能够有效送达"
数据处理条款,PIPL合规版,"乙方作为甲方的个人信息处理受托方，应当按照甲方的要求和本合同的约定处理个人信息。处理目的仅限于[具体目的]，处理方式为[具体方式]。乙方不得超出上述目的和方式处理个人信息，未经甲方书面同意不得转委托第三方处理。数据处理期限：[期限]。","处理目的、处理方式、处理期限、个人信息种类、安全措施、禁止转委托","目的不明确、方式笼统、未约定期限、未禁止转委托、缺少安全措施","目的和方式是否具体明确、期限是否合理、是否有禁止转委托条款"
数据跨境传输条款,SCC引用版,"双方确认，为实现本合同目的，[方]需将履行本合同所必需的个人信息传输至[国家/地区]。双方已签署《个人信息出境标准合同》并完成备案（备案编号：[编号]），该标准合同构成本合同的组成部分。","标准合同版本、备案编号、传输必要性、目的限制、双方权利义务","未引用标准合同、未完成备案、传输目的不明确、无目的限制","是否使用最新版本、是否完成备案、传输是否必要"
AI伦理合规条款,AI技术合同,"乙方承诺：（1）训练数据来源合法，不侵犯第三方知识产权和个人信息权益；（2）按照《生成式人工智能服务管理暂行办法》的要求完成算法备案；（3）对生成内容进行标识，防止误导公众；（4）建立内容审核机制，防止生成违法和不良信息。","训练数据合规、算法备案、内容标识、内容审核、模型偏见","训练数据侵权、未完成备案、生成内容违法、模型偏见","训练数据来源是否明确、备案义务是否承担、内容审核机制"
算法备案义务条款,AI技术合同,"乙方应按照《互联网信息服务算法推荐管理规定》和《生成式人工智能服务管理暂行办法》的要求，在提供服务前完成算法备案，并提供备案编号。备案信息发生变化时应及时更新。","备案主体、备案时间、备案编号、更新义务、违反后果","备案责任不清、备案时间不明确、无违反后果","备案主体是否明确、是否约定备案时间、违反后果"
生成内容责任条款,AI技术合同,"因乙方生成内容导致第三方提出侵权主张的，由乙方承担全部法律责任。甲方因使用乙方生成内容被第三方索赔的，乙方应赔偿甲方因此遭受的全部损失（包括合理的律师费、诉讼费）。","责任主体、赔偿范围、维权协助、反担保","责任不清、赔偿范围不完整、缺少维权协助义务","责任归属是否明确、赔偿范围是否完整、是否涵盖合理费用"
SLA服务条款,SaaS合同,"乙方保证服务年度可用性不低于[99.X]%，月度可用性不低于[99.X]%。可用性 =（服务承诺总时间 - 不可用时间）/ 服务承诺总时间 × 100%。月度可用性低于承诺值时，乙方应按以下标准减免服务费：[具体标准]。","可用性定义、承诺值、计算公式、减免标准、不可用范围","可用性定义模糊、承诺值过高/过低、无计算公式、无减免标准","定义是否可测量、计算是否可操作、减免是否合理"
直播账号归属条款,直播合同,"本合同履行期间，[方]使用的直播平台账号（账号ID：[ID]）归[所有方]所有。合作终止后，[使用方]应在[X]个工作日内交还账号及密码，不得继续使用或转让他人。","账号信息、归属方、交还义务、禁止转让、使用限制","账号归属不明确、无交还义务、无禁止转让条款","归属是否明确、交还期限是否合理、是否有禁止转让"
跨境争议解决条款,涉外合同,"因本合同产生的争议，双方应友好协商解决。协商不成的，任何一方均可提交[仲裁机构]按照其届时有效的仲裁规则进行仲裁。仲裁地为[地点]，仲裁语言为[语言]。仲裁裁决是终局的，对双方均有约束力。","仲裁机构、仲裁地、仲裁语言、仲裁规则、裁决效力","仲裁机构不明确、仲裁地不利于一方、未约定仲裁语言","机构是否具体、地点是否合理、语言是否约定"
违约金上限条款,通用合同,"违约方应赔偿守约方因此遭受的全部实际损失。违约金金额不超过合同总金额的[XX]%。违约金过高的，违约方可根据《民法典》第585条第2款及《合同编司法解释》第64条请求人民法院或仲裁机构予以适当减少。","违约金计算、上限比例、调减条款、实际损失赔偿","无上限约定、比例过高、无调减引用","上限是否合理、是否引用最新司法解释、实际损失如何证明"
反商业贿赂条款,通用合同,"双方承诺严格遵守《中华人民共和国反不正当竞争法》《中华人民共和国刑法》及《公司法》关于商业贿赂的规定，不得向对方或其关联方员工提供回扣、佣金、礼品、旅游等任何形式的贿赂。违反者除承担违约责任外，对方有权立即解除本合同。","法律依据、贿赂定义、禁止行为、违约责任、解除权","贿赂定义不完整、缺少解除权、未引用新法","定义是否全面、是否有解除权、是否引用新公司法"
